Found_Cps,Covering,F1,Time
[ 338 1009 6485],0.41562019876655265,0.4,25.302705764770508
[ 820 1178 2009 3519 4865 5312 6334 6888],0.8529049238936107,0.8750000000000001,15.825395107269287
[ 405 1188 1605 2021 2837 3579 3821 4055],0.7586785488749408,0.6666666666666667,7.980900049209595
[ 701  921 1463 2027 2475 2845 3779],0.7549847488801018,0.7142857142857143,8.79060173034668
[1436 3031 4755 5331 6740 7647],0.8199762490455301,0.7692307692307692,23.599717617034912
[1561],0.7860465881655769,0.4,3.24491286277771
[ 472 1451 1954 3454 4352 4856 5193 6342],0.7515270192941098,0.6666666666666667,23.81756854057312
[1539 2845 4087 5283 5834],0.8781314772256529,0.7272727272727272,21.8033344745636
[1199 2343 3488 4055],0.913195545967706,0.8000000000000002,15.921731233596802
[ 816 2119 2785 3405 4031 5338],0.9362695657104749,0.8571428571428571,22.847032070159912
[1238],0.47647424268638,0.6666666666666666,12.97424578666687
[1719],0.782585535351293,0.4,6.324105978012085
[1140 1483 3130 4662],0.9218607233130895,0.6666666666666665,24.194486618041992
[ 603 1452 2228 2662 3259 4225],0.6846404511507392,0.7272727272727273,17.039926052093506
[1430 2845 3250 4055],0.9169987917708171,0.888888888888889,17.040262699127197
[ 281  579 1499 2209 3863],0.8808557319058847,0.7272727272727272,15.298357009887695
[ 703 2223 2726 3651],0.9499689411136809,1.0,9.738169431686401
[1539],0.4145511208160782,0.28571428571428575,14.68700098991394
[1535 3444],0.796733361002816,0.5714285714285715,11.225773811340332
[1426 2842 3214],0.8820675717261622,0.5714285714285715,9.292248010635376
[ 354 1595 2058 2483 3143 3369],0.6605949727382837,0.6,15.871892929077148
[ 500 1461 1974 2213 3439 3654 3891],0.7431338361251615,0.5,15.247427225112915
[ 774 1195 1471 1818 2367 3265 3785],0.6059560984343866,0.5,10.815149307250977
[ 729 1426 1601 1841],0.6750350019509284,0.7499999999999999,5.948382377624512
[ 606 1251 1776 2273],0.9656348550056059,1.0,7.562644720077515
[ 519 1170 1721],0.9641181143855304,0.75,6.2684032917022705
[ 977 1546 2035 2795 3683 3991 4493],0.6439968368386636,0.4615384615384615,19.00243854522705
[1779 3530 3851 4430],0.7547666106939024,0.20000000000000004,16.696465492248535
[  308  1063  1525  2744  3850  4247  5767  6789  7330  8861  9200 10064],0.808291856591707,0.6666666666666667,64.88174271583557
[  549  1383  2865  3776  4561  5003  6408  7650  7880  8619  9492 10033],0.8307609480098854,0.7826086956521738,62.45897173881531
[ 859 1575 2223 2779 3560 4343 5086 5493 5833],0.7833230633858969,0.8235294117647058,28.946463346481323
[1648 3440 5018 5251 6831],0.8568819715941349,0.6153846153846153,39.117727279663086
[ 365 1479 3045 3537 4455 4979 6376],0.861749988388213,0.8571428571428571,50.04220724105835
[ 421 1457 1994 3002 3407 4362 4830 5208 6380],0.7720605358309782,0.7499999999999999,46.61449885368347
[1205 2105 2359 2672 3285 4081 4422 4933],0.7642434009743875,0.75,27.55175542831421
[ 436 1128 2209 2726],0.8383852873306504,0.4000000000000001,14.578198432922363
[1498 5924 7464 8980],0.6893825536233318,0.6666666666666666,60.17839169502258
[  220   922  1458  3004  4649  6045  6520  7109  7572  8137  9419 10909 12258 12692 13802],0.8142370897593878,0.7407407407407406,113.92887806892395
[ 380 1330 2220 2873 3436 4117 4657 5561 6227 7041 7803 8573],0.856977795281448,0.7199999999999999,85.8203239440918
[1433 2950 4449 5803 7469 9186],0.9391487832483508,0.8571428571428571,62.950968742370605
[2058 2888 3143 3494 4513 4917 5216],0.6898773196191101,0.3333333333333333,29.427942276000977
[4139 5254 5535],0.47145582372543,0.22222222222222224,22.04611349105835
[ 240  672 1056 1511 2857 3261 4042 4906 5722 6331 7547],0.3545678566510604,0.375,37.6638662815094
[2087 2552 3059],0.7327467693153699,0.3333333333333333,8.1381995677948
[1926 2983 3433 3812 4230],0.2852540390784203,0.26666666666666666,57.33648371696472
[  376  1181  1594  2327  3959  4264  5963  6411  7767  8680 10377 11087 11857 12547 13177],0.5256593083909314,0.34782608695652173,69.15044856071472
[1627 1991 3368 3560],0.5237972260371176,0.28571428571428575,12.90708303451538
